ids,urgence,subjects,categories
b0_m1,Anodine,Demande de mise à jour de l’adresse e-mail dans le portail RH,Demande administrative
b0_m2,Faible,Problème de connexion à la plateforme de formation en ligne,Problème d’accès / authentification
b0_m3,Modérée,Bug sur le tableau de bord des ventes,Bug ou dysfonctionnement d’un service
b0_m4,Élevée,Problème technique informatique : serveur de messagerie indisponible,Problème technique informatique
b0_m5,Critique,Incident de sécurité : fuite de données sensibles,Problème d’accès / authentification
b1_m1,Anodine,Demande d'information sur les formations disponibles,Demande d'information
b1_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b1_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b1_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b1_m5,Critique,Panne du système de gestion des commandes,Bug ou dysfonctionnement d’un service
b2_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b2_m2,Faible,Problème de connexion à l'outil intranet,Problème d’accès / authentification
b2_m3,Modérée,Erreur 500 sur la page de facturation,Bug ou dysfonctionnement d’un service
b2_m4,Élevée,Aide pour l'installation de la nouvelle version du logiciel de gestion,Demande de support utilisateur
b2_m5,Critique,"Panne réseau dans le bâtiment A, arrêt complet du service",Problème technique informatique
b3_m1,Anodine,Demande de congé pour la semaine du 12 mars,Demande administrative
b3_m2,Faible,Problème de connexion au VPN,Problème d’accès / authentification
b3_m3,Modérée,Erreur 500 sur le portail client,Bug ou dysfonctionnement d’un service
b3_m4,Élevée,Panne du serveur de messagerie,Problème technique informatique
b3_m5,Critique,Perte de données sur le serveur de sauvegarde,Demande de support utilisateur
b4_m1,Anodine,Demande de mise à jour de photo de profil,Demande administrative
b4_m2,Faible,Problème de connexion à Outlook depuis le VPN,Problème d’accès / authentification
b4_m3,Modérée,Bug affichage des KPI dans le tableau de bord mensuel,Bug ou dysfonctionnement d’un service
b4_m4,Élevée,Assistance requise pour l'accès aux dossiers partagés,Demande de support utilisateur
b4_m5,Critique,Panne critique du serveur principal – perte de données,Problème technique informatique
b5_m1,Anodine,Demande de renseignements sur les formations disponibles,Demande administrative
b5_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b5_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b5_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b5_m5,Critique,Panne majeure du système de gestion de production,Bug ou dysfonctionnement d'un service
b6_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b6_m2,Faible,Problème de connexion à l’outil intranet,Problème d’accès / authentification
b6_m3,Modérée,Erreur de facturation dans le portail client,Bug ou dysfonctionnement d’un service
b6_m4,Élevée,Panne du serveur de messagerie interne,Problème technique informatique
b6_m5,Critique,Urgent : Perte de données sur le serveur de sauvegarde,Demande de support utilisateur
b7_m1,Anodine,Demande de fournitures de bureau,Demande administrative
b7_m2,Faible,Bug mineur sur la page de connexion du portail interne,Bug ou dysfonctionnement d’un service
b7_m3,Modérée,Problème d’accès VPN depuis le bureau à Lyon,Problème d’accès / authentification
b7_m4,Élevée,Imprimante réseau bloquée en file d’attente,Demande de support utilisateur
b7_m1,Anodine,Demande de documentation pour nouveaux employés,Demande administrative
b7_m2,Faible,Problème mineur avec l’imprimante du bureau,Problème technique informatique
b7_m3,Modérée,Accès refusé à une application essentielle,Problème d’accès / authentification
b7_m4,Élevée,Panne du serveur de production,Problème technique informatique
b7_m5,Critique,Fuite de données sensible,Bug ou dysfonctionnement d’un service
b8_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b8_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b8_m3,Modérée,Bug dans l'application de gestion de projet,Bug ou dysfonctionnement d’un service
b8_m4,Élevée,Problème d'accès aux données confidentielles,Problème d’accès / authentification
b8_m5,Critique,Attaque de phishing en cours contre nos employés,Problème technique informatique
b9_m1,Anodine,Demande de congé pour la semaine du 10 avril,Demande administrative
b9_m2,Faible,Mot de passe oublié pour l'accès VPN,Problème d’accès / authentification
b9_m3,Modérée,CRM ne charge pas les fiches clients,Bug ou dysfonctionnement d’un service
b9_m4,Élevée,Panne du serveur de production - Service de facturation indisponible,Problème technique informatique
b9_m5,Critique,Arrêt complet du système ERP - Incident critique,Demande de support utilisateur
b10_m1,Anodine,Demande de documentation pour nouvelle version de logiciel,Demande de support utilisateur
b10_m2,Faible,Petit problème de mise en page sur le site web,Bug ou dysfonctionnement d’un service
b10_m3,Modérée,Problème d'accès au système de gestion de projet,Problème d’accès / authentification
b10_m4,Élevée,Panne du serveur de données,Problème technique informatique
b10_m5,Critique,Faille de sécurité détectée dans le système de paiement en ligne,Problème technique informatique
b11_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b11_m2,Faible,Mot de passe oublié pour l’accès au portail intranet,Problème d’accès / authentification
b11_m3,Modérée,Erreur 500 lors de l’utilisation du module de facturation,Bug ou dysfonctionnement d’un service
b11_m4,Élevée,Application mobile ne se synchronise pas avec le serveur,Demande de support utilisateur
b11_m5,Critique,"Panne serveur de production, indisponibilité totale du site e-commerce",Problème technique informatique
b12_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b12_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d'accès / authentification
b12_m3,Modérée,Bug sur le logiciel de gestion de projet,Bug ou dysfonctionnement d'un service
b12_m4,Élevée,Problème de serveur : accès aux données compromis,Problème technique informatique
b12_m5,Critique,Attaque de sécurité : données sensibles exposées,Problème technique informatique
b13_m1,Anodine,Demande de mise à jour de logiciel de facturation,Demande administrative
b13_m2,Faible,Problème d’impression sur le scanner du bureau 3,Problème technique informatique
b13_m3,Modérée,Bug : page de connexion du portail intranet ne se charge pas,Bug ou dysfonctionnement d’un service
b13_m4,Élevée,Problème d’accès au VPN depuis le télétravail,Problème d’accès / authentification
b13_m5,Critique,Interruption totale du service de messagerie pour l’ensemble du siège,Demande de support utilisateur
b14_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b14_m2,Faible,Problème de connexion à l’application interne,Problème d’accès / authentification
b14_m3,Modérée,Erreur de calcul sur la plateforme de facturation,Bug ou dysfonctionnement d’un service
b14_m4,Élevée,Assistance requise pour la migration des données clients,Demande de support utilisateur
b14_m5,Critique,Panne serveur de production - indisponibilité totale,Problème technique informatique
b15_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b15_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b15_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b15_m4,Élevée,Problème d'accès aux données sensibles,Problème d'accès / authentification
b15_m5,Critique,Panne du système de gestion de production,Bug ou dysfonctionnement d'un service
b16_m1,Anodine,Demande de badge d'accès supplémentaire,Demande administrative
b16_m2,Faible,Problème de réinitialisation de mot de passe,Problème d’accès / authentification
b16_m3,Modérée,Retard dans la réception des emails du service X,Bug ou dysfonctionnement d’un service
b16_m4,Élevée,Imprimante du bureau 5 ne répond pas,Demande de support utilisateur
b16_m5,Critique,Arrêt complet du serveur de production,Problème technique informatique
b17_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b17_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b17_m3,Modérée,Demande de support pour un logiciel,Demande de support utilisateur
b17_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b17_m5,Critique,Panne du serveur principal,Bug ou dysfonctionnement d’un service
b18_m1,Anodine,Demande de mise à jour du logiciel de comptabilité,Demande administrative
b18_m2,Faible,Problème d’accès à l’intranet depuis le bureau secondaire,Problème d’accès / authentification
b18_m3,Modérée,Erreur de synchronisation des données sur le portail client,Bug ou dysfonctionnement d’un service
b18_m4,Élevée,Panne du serveur de messagerie interne,Problème technique informatique
b18_m5,Critique,Incident critique : perte de données sur le serveur de sauvegarde,Demande de support utilisateur
b19_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b19_m2,Faible,Mot de passe oublié sur le portail intranet,Problème d’accès / authentification
b19_m3,Modérée,Erreur 500 lors de l'accès à la plateforme de facturation,Bug ou dysfonctionnement d’un service
b19_m4,Élevée,Problème de synchronisation des données sur l'application mobile,Demande de support utilisateur
b19_m5,Critique,Panne du serveur de messagerie interne,Problème technique informatique
b20_m1,Anodine,Demande de congé pour le 12 juin,Demande administrative
b20_m2,Faible,Impossible de se connecter à l’intranet depuis le bureau,Problème d’accès / authentification
b20_m3,Modérée,Erreur de paiement sur la plateforme de facturation,Bug ou dysfonctionnement d’un service
b20_m4,Élevée,Panne du serveur de messagerie interne,Problème technique informatique
b20_m5,Critique,Perte de données critiques suite à un crash du logiciel de gestion,Demande de support utilisateur
b21_m1,Anodine,Demande de fournitures de bureau,Demande administrative
b21_m2,Faible,Petite erreur de mise à jour sur l’intranet,Problème technique informatique
b21_m3,Modérée,Problème d’accès à l’application RH,Problème d’accès / authentification
b21_m4,Élevée,Arrêt du serveur de production - impact sur plusieurs services,Bug ou dysfonctionnement d’un service
b21_m5,Critique,Violation de données sensibles - action urgente requise,Problème d’accès / authentification
b22_m1,Critique,Incident critique : perte de données sur le serveur de sauvegarde,Demande de support utilisateur
b22_m2,Faible,Problème d'authentification sur l'outil de gestion des factures,Problème d’accès / authentification
b22_m3,Modérée,Erreur 500 lors de la consultation des rapports mensuels,Bug ou dysfonctionnement d’un service
b22_m4,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b22_m5,Élevée,Panne du serveur de messagerie interne,Problème technique informatique
b23_m1,Anodine,Demande de renseignements sur les formations disponibles,Demande administrative
b23_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d’accès / authentification
b23_m3,Modérée,Bug dans l’application de gestion de projet,Bug ou dysfonctionnement d’un service
b23_m4,Élevée,Problème de serveur : impossibilité d’accéder aux données,Problème technique informatique
b23_m5,Critique,Attaque de sécurité en cours : données sensibles menacées,Problème technique informatique
b24_m1,Anodine,Demande de fournitures de bureau,Demande administrative
b24_m2,Faible,Petite anomalie dans le tableau de bord,Bug ou dysfonctionnement d’un service
b24_m3,Modérée,Erreur de connexion à la base de données interne,Problème technique informatique
b24_m4,Élevée,Blocage de compte utilisateur après tentative de connexion,Problème d’accès / authentification
b24_m5,Critique,Panne totale du serveur de production,Demande de support utilisateur
b25_m1,Anodine,Demande d'information sur les formations disponibles,Demande d'information
b25_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b25_m3,Modérée,Demande de support pour un logiciel,Demande de support utilisateur
b25_m4,Élevée,Problème d'accès aux données sensibles,Problème d'accès / authentification
b25_m5,Critique,Panne du système de gestion de production,Bug ou dysfonctionnement d'un service
b26_m1,Anodine,Demande de renseignements sur les formations disponibles,Demande de support utilisateur
b26_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b26_m3,Modérée,Demande d’assistance pour la configuration d’un nouvel ordinateur,Demande de support utilisateur
b26_m4,Élevée,Problème d’authentification pour un service essentiel,Problème d’accès / authentification
b26_m5,Critique,Panne du système de gestion de données,Bug ou dysfonctionnement d’un service
b27_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b27_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b27_m3,Modérée,Demande de support pour une application métier,Demande de support utilisateur
b27_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b27_m5,Critique,Panne majeure du système de gestion de production,Bug ou dysfonctionnement d’un service
b28_m1,Anodine,Demande de renseignements sur les formations disponibles,Demande administrative
b28_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b28_m3,Modérée,Demande de support pour une application métier,Demande de support utilisateur
b28_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b28_m5,Critique,Panne du serveur principal de l'entreprise,Bug ou dysfonctionnement d'un service
b29_m1,Anodine,Demande de renseignements sur les formations proposées,Demande administrative
b29_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b29_m3,Modérée,Demande de support pour un logiciel,Demande de support utilisateur
b29_m4,Élevée,Problème d’authentification sur le portail client,Problème d’accès / authentification
b29_m5,Critique,Panne majeure du système de gestion de données,Bug ou dysfonctionnement d’un service
b30_m1,Anodine,Demande de copie de facture,Demande administrative
b30_m2,Faible,Imprimante réseau ne fonctionne pas,Problème technique informatique
b30_m3,Modérée,Bug sur le portail intranet – formulaire de congé non enregistré,Bug ou dysfonctionnement d’un service
b30_m4,Élevée,Problème d’authentification VPN,Problème d’accès / authentification
b30_m5,Critique,Système de facturation interne hors service,Problème technique informatique
b31_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b31_m2,Faible,Mot de passe oublié sur le portail intranet,Problème d’accès / authentification
b31_m3,Modérée,Erreur 500 lors de l'accès à l'application de gestion des stocks,Bug ou dysfonctionnement d’un service
b31_m4,Élevée,Panne du serveur de messagerie interne,Problème technique informatique
b31_m5,Critique,Incident critique : panne totale du système de pointage en salle de réunion,Demande de support utilisateur
b32_m1,Anodine,Demande de badge d’accès pour nouvel employé,Demande administrative
b32_m2,Faible,Réinitialisation du mot de passe VPN,Problème d’accès / authentification
b32_m3,Modérée,Erreur de taille de pièce jointe dans Outlook,Bug ou dysfonctionnement d’un service
b32_m4,Élevée,Imprimante du salon de conférence bloquée,Demande de support utilisateur
b32_m5,Critique,Panne critique du serveur de base de données production,Problème technique informatique
b33_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b33_m2,Faible,Problème d'accès à l'application mobile,Problème d’accès / authentification
b33_m3,Modérée,Erreur 500 lors de la génération de rapports PDF,Bug ou dysfonctionnement d’un service
b33_m4,Élevée,Synchronisation des contacts Outlook interrompue,Demande de support utilisateur
b33_m5,Critique,Panne du serveur de messagerie interne,Problème technique informatique
b34_m1,Anodine,Demande de renseignements sur les formations disponibles,Demande administrative
b34_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b34_m3,Modérée,Bug sur le site web de l’entreprise,Bug ou dysfonctionnement d’un service
b34_m4,Élevée,Problème d’authentification pour les utilisateurs,Problème d’accès / authentification
b34_m5,Critique,Attaque de sécurité en cours,Problème technique informatique
b35_m1,Anodine,Demande de mise à jour de mon adresse e-mail professionnelle,Demande administrative
b35_m2,Faible,Problème de connexion à l'imprimante réseau du bureau 3,Problème d’accès / authentification
b35_m3,Modérée,Dysfonctionnement de la page d'accueil du portail intranet,Bug ou dysfonctionnement d’un service
b35_m4,Élevée,Demande d'accès à Jira pour le nouveau collaborateur,Demande de support utilisateur
b35_m5,Critique,Interruption totale du service de messagerie interne,Problème technique informatique
b36_m1,Anodine,Demande de cartes de visite pour le nouveau directeur,Demande administrative
b36_m2,Faible,Problème de mise en page sur le rapport annuel,Problème technique informatique
b36_m3,Modérée,Impossible d’accéder au VPN depuis le bureau,Problème d’accès / authentification
b36_m4,Élevée,Arrêt complet du portail RH interne,Bug ou dysfonctionnement d’un service
b36_m5,Critique,Violation de données sensibles détectée sur le serveur de production,Problème technique informatique
b37_m1,Anodine,Création de compte utilisateur pour le nouveau stagiaire,Demande administrative
b37_m2,Faible,Imprimante réseau HP LaserJet 4000 en erreur de papier,Problème technique informatique
b37_m3,Modérée,Erreur de chargement du tableau de bord du portail RH,Bug ou dysfonctionnement d’un service
b37_m4,Élevée,Impossible de se connecter au VPN depuis le bureau,Problème d’accès / authentification
b37_m5,Critique,Arrêt complet du serveur de production srv-prod-01,Problème technique informatique
b38_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b38_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b38_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b38_m4,Élevée,Problème d'accès aux données sensibles,Problème d’accès / authentification
b38_m5,Critique,Panne du serveur principal,Bug ou dysfonctionnement d’un service
b39_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b39_m2,Faible,Problème d'accès à l'outil de gestion des tâches,Problème d’accès / authentification
b39_m3,Modérée,Bug affichage des rapports mensuels,Bug ou dysfonctionnement d’un service
b39_m4,Élevée,Besoin d'assistance pour la configuration du VPN,Demande de support utilisateur
b39_m5,Critique,Panne serveur de production – arrêt complet,Problème technique informatique
b40_m1,Anodine,Demande d'information sur les formations disponibles,Demande de support utilisateur
b40_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d’accès / authentification
b40_m3,Modérée,Bug dans l'application de gestion de projet,Bug ou dysfonctionnement d’un service
b40_m4,Élevée,Problème de serveur : accès aux données compromis,Problème technique informatique
b40_m5,Critique,Attaque de sécurité en cours : demande d'intervention immédiate,Problème technique informatique
b41_m1,Anodine,Demande de congé maternité,Demande administrative
b41_m2,Faible,Mot de passe oublié pour le portail intranet,Problème d’accès / authentification
b41_m3,Modérée,Erreur 500 sur la page de facturation,Bug ou dysfonctionnement d’un service
b41_m4,Élevée,Serveur de fichiers indisponible,Problème technique informatique
b41_m5,Critique,Panne totale du système de pointage pour la salle de réunion,Demande de support utilisateur
b42_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b42_m2,Faible,Problème mineur avec l'imprimante,Problème technique informatique
b42_m3,Modérée,Accès refusé à une ressource partagée,Problème d’accès / authentification
b42_m4,Élevée,Problème de connexion au système de gestion de projet,Problème technique informatique
b42_m5,Critique,Panne majeure du serveur principal,Problème technique informatique
b43_m1,Anodine,Demande de congé maladie,Demande administrative
b43_m2,Faible,Impossible de se connecter à l'outil CRM,Problème d’accès / authentification
b43_m3,Modérée,Erreur 500 sur le portail intranet,Bug ou dysfonctionnement d’un service
b43_m4,Élevée,Aide pour la configuration du VPN,Demande de support utilisateur
b43_m5,Critique,Panne du serveur de production,Problème technique informatique
b44_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b44_m2,Faible,Problème de connexion à l’application interne,Problème d’accès / authentification
b44_m3,Modérée,Erreur lors de la génération de rapports PDF,Bug ou dysfonctionnement d’un service
b44_m4,Élevée,Serveur de messagerie indisponible depuis 2h,Problème technique informatique
b44_m5,Critique,"Panne critique du système de facturation, arrêt complet",Demande de support utilisateur
b45_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b45_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b45_m3,Modérée,Demande de support pour un logiciel,Demande de support utilisateur
b45_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b45_m5,Critique,Panne du serveur principal,Bug ou dysfonctionnement d'un service
b46_m1,Anodine,Demande de congé annuel,Demande administrative
b46_m2,Faible,Mot de passe oublié sur le portail intranet,Problème d’accès / authentification
b46_m3,Modérée,Erreur 500 lors de l’accès à la plateforme de facturation,Bug ou dysfonctionnement d’un service
b46_m4,Élevée,Panne du serveur de messagerie interne,Problème technique informatique
b46_m5,Critique,Incident de sécurité - données sensibles exposées,Demande de support utilisateur
b47_m1,Anodine,Demande de mise à jour de l'outil de gestion de projet,Demande administrative
b47_m2,Faible,Problème de connexion à l'imprimante réseau,Problème technique informatique
b47_m3,Modérée,Bug sur la page de facturation du portail client,Bug ou dysfonctionnement d’un service
b47_m4,Élevée,Erreur d'authentification sur le portail intranet,Problème d’accès / authentification
b47_m5,Critique,URGENT : Panne complète du serveur de base de données de production,Demande de support utilisateur
b48_m1,Anodine,Demande de mise à jour de mon badge d'accès,Demande administrative
b48_m2,Faible,Problème d'affichage du tableau de bord – couleur de fond incorrecte,Bug ou dysfonctionnement d’un service
b48_m3,Modérée,Erreur 401 lors de la connexion à la plateforme de formation,Problème d’accès / authentification
b48_m4,Élevée,Erreur 502 sur le serveur d'impression des rapports mensuels,Problème technique informatique
b48_m5,Critique,Système de paiement en ligne hors service – impact sur les ventes,Bug ou dysfonctionnement d’un service
b49_m1,Anodine,Demande de documentation pour nouvelle version de logiciel,Demande de support utilisateur
b49_m2,Faible,Problème mineur de mise en page sur site web,Bug ou dysfonctionnement d’un service
b49_m3,Modérée,Accès refusé à certaines fonctionnalités du système,Problème d’accès / authentification
b49_m4,Élevée,Problème technique avec le serveur de messagerie,Problème technique informatique
b49_m5,Critique,Attaque de sécurité en cours sur nos systèmes,Problème technique informatique
b50_m1,Anodine,Demande de renseignements sur les formations disponibles,Demande administrative
b50_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b50_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b50_m4,Élevée,Problème d’accès au système de gestion de projet,Problème d’accès / authentification
b50_m5,Critique,Panne du serveur principal,Bug ou dysfonctionnement d’un service
b51_m1,Anodine,Demande de chaise ergonomique pour le bureau,Demande administrative
b51_m2,Faible,Bug : icône manquante sur le portail intranet,Bug ou dysfonctionnement d’un service
b51_m3,Modérée,Demande de réinitialisation de mot de passe VPN,Problème d’accès / authentification
b51_m4,Élevée,Arrêt du serveur de production : intervention urgente requise,Problème technique informatique
b51_m5,Critique,Violation de données sensibles détectée - Action immédiate nécessaire,Problème technique informatique
b52_m1,Anodine,Demande de congés pour la semaine prochaine,Demande administrative
b52_m2,Faible,Mot de passe oublié pour l’accès VPN,Problème d’accès / authentification
b52_m3,Modérée,Erreur 500 sur le portail intranet,Bug ou dysfonctionnement d’un service
b52_m4,Élevée,Impression PDF impossible sur le poste de travail,Demande de support utilisateur
b52_m5,Critique,"Panne réseau dans le bâtiment B, arrêt complet des services",Problème technique informatique
b53_m1,Anodine,Demande de copie du manuel de sécurité interne,Demande administrative
b53_m2,Faible,Erreur lors de l'ouverture du fichier Excel de reporting mensuel,Problème technique informatique
b53_m3,Modérée,Problème d'accès VPN depuis le bureau à distance,Problème d’accès / authentification
b53_m4,Élevée,Demande de support : problème de synchronisation des contacts Outlook,Demande de support utilisateur
b53_m5,Critique,Application de facturation hors service – impact sur les ventes,Bug ou dysfonctionnement d’un service
