ids,urgence,subjects,categories
b54_m1,Anodine,Demande de fournitures de bureau pour le département marketing,Demande administrative
b54_m2,Faible,Problème de connexion à l’adresse e‑mail interne,Problème d’accès / authentification
b54_m3,Modérée,Erreur de synchronisation dans le module de facturation CRM,Bug ou dysfonctionnement d’un service
b54_m4,Élevée,Panne du serveur de production – impact sur les ventes en ligne,Problème technique informatique
b54_m5,Critique,Blocage complet du système ERP – urgence critique,Problème d’accès / authentification
b55_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b55_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b55_m3,Modérée,Demande de support pour une application métier,Demande de support utilisateur
b55_m4,Élevée,Problème d'accès aux données confidentielles,Problème d’accès / authentification
b55_m5,Critique,Panne du serveur principal de production,Bug ou dysfonctionnement d’un service
b56_m1,Anodine,Demande d'information sur les formations disponibles,Demande de support utilisateur
b56_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d'accès / authentification
b56_m3,Modérée,Bug dans l'application de gestion de projet,Bug ou dysfonctionnement d'un service
b56_m4,Élevée,Problème de serveur : perte de données,Problème technique informatique
b56_m5,Critique,Attaque de sécurité en cours : nécessité d'intervention immédiate,Problème technique informatique
b57_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b57_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b57_m3,Modérée,Bug dans l’application de gestion de projet,Bug ou dysfonctionnement d’un service
b57_m4,Élevée,Problème d’accès aux données confidentielles,Problème d’accès / authentification
b57_m5,Critique,Attaque de phishing en cours contre nos employés,Problème technique informatique
b58_m1,Anodine,Demande de renseignement sur les formations disponibles,Demande administrative
b58_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d’accès / authentification
b58_m3,Modérée,Bug dans l'application de gestion de projet,Bug ou dysfonctionnement d’un service
b58_m4,Élevée,Problème de serveur : impossibilité d'accéder aux données,Problème technique informatique
b58_m5,Critique,Attaque de phishing en cours : sécurité compromise,Problème de sécurité
b59_m1,Anodine,Demande de renseignements sur les formations disponibles,Demande administrative
b59_m2,Faible,Problème mineur avec l'imprimante du bureau,Problème technique informatique
b59_m3,Modérée,Accès refusé au système de gestion de projet,Problème d’accès / authentification
b59_m4,Élevée,Bug sur le site web de l'entreprise,Bug ou dysfonctionnement d’un service
b59_m5,Critique,Panne du serveur principal,Problème technique informatique
b60_m1,Anodine,Demande de mise à jour de coordonnées personnelles,Demande administrative
b60_m2,Faible,Problème de connexion au VPN depuis le bureau,Problème d’accès / authentification
b60_m3,Modérée,Erreur 500 lors de l'accès au portail RH,Bug ou dysfonctionnement d’un service
b60_m4,Élevée,Demande d'installation de logiciel de gestion de projet,Demande de support utilisateur
b60_m5,Critique,"Panne du serveur de messagerie, impact sur l'ensemble de l'entreprise",Problème technique informatique
b61_m1,Anodine,Demande de documentation pour un nouveau projet,Demande administrative
b61_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b61_m3,Modérée,Bug dans l'application de gestion de projet,Bug ou dysfonctionnement d’un service
b61_m4,Élevée,Problème d'accès aux données confidentielles,Problème d’accès / authentification
b61_m5,Critique,Attaque de sécurité en cours contre nos serveurs,Problème technique informatique
b62_m1,Anodine,Demande de mise à jour de la documentation interne,Demande administrative
b62_m2,Faible,Problème d’accès à la plateforme de formation en ligne,Problème d’accès / authentification
b62_m3,Modérée,Bug : affichage incorrect des rapports mensuels,Bug ou dysfonctionnement d’un service
b62_m4,Élevée,Urgent : panne du serveur de messagerie interne,Problème technique informatique
b62_m5,Critique,Incident majeur : perte de données sur le serveur de sauvegarde,Bug ou dysfonctionnement d’un service
b63_m1,Anodine,Demande de congé maternité,Demande administrative
b63_m2,Faible,Mot de passe oublié sur l’application interne,Problème d’accès / authentification
b63_m3,Modérée,Erreur 500 sur le portail de facturation,Bug ou dysfonctionnement d’un service
b63_m4,Élevée,Impression de rapports PDF impossible depuis le nouveau module,Demande de support utilisateur
b63_m5,Critique,"Panne serveur de production, indisponibilité totale",Problème technique informatique
b64_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b64_m2,Faible,Mot de passe oublié sur le portail intranet,Problème d’accès / authentification
b64_m3,Modérée,Erreur 500 lors de la consultation des rapports mensuels,Bug ou dysfonctionnement d’un service
b64_m4,Élevée,Impression des rapports PDF impossible depuis le serveur de fichiers,Problème technique informatique
b64_m5,Critique,"Panne totale du système de gestion des ventes, arrêt complet de l’activité",Demande de support utilisateur
b65_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b65_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d’accès / authentification
b65_m3,Modérée,Besoin d'assistance pour la configuration d'un nouvel ordinateur,Demande de support utilisateur
b65_m4,Élevée,Problème critique avec la base de données,Problème technique informatique
b65_m5,Critique,Attaque de phishing en cours,Bug ou dysfonctionnement d’un service
b66_m1,Anodine,Demande de renseignements sur les formations disponibles,Demande administrative
b66_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b66_m3,Modérée,Demande de support pour un logiciel de gestion de projet,Demande de support utilisateur
b66_m4,Élevée,Problème d'accès à une base de données,Problème d'accès / authentification
b66_m5,Critique,Panne du serveur principal,Bug ou dysfonctionnement d'un service
b67_m1,Anodine,Demande de renseignement sur les formations disponibles,Demande de support utilisateur
b67_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b67_m3,Modérée,Demande de réinitialisation de mot de passe,Problème d’accès / authentification
b67_m4,Élevée,Problème de serveur : impossibilité d’accéder aux données,Bug ou dysfonctionnement d’un service
b67_m5,Critique,Attaque de sécurité en cours : données sensibles exposées,Problème technique informatique
b68_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b68_m2,Faible,Problème mineur avec l'imprimante,Problème technique informatique
b68_m3,Modérée,Demande de support pour un logiciel,Demande de support utilisateur
b68_m4,Élevée,Problème d'accès au système de gestion,Problème d’accès / authentification
b68_m5,Critique,Panne critique du serveur principal,Bug ou dysfonctionnement d’un service
b69_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b69_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b69_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b69_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b69_m5,Critique,Panne majeure du système de gestion de production,Bug ou dysfonctionnement d’un service
b70_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b70_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b70_m3,Modérée,Demande de support pour une application métier,Demande de support utilisateur
b70_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b70_m5,Critique,Panne majeure du serveur principal,Bug ou dysfonctionnement d’un service
b71_m1,Anodine,Demande de réapprovisionnement de fournitures de bureau,Demande administrative
b71_m2,Faible,Problème d'accès à l'outil de gestion des tickets,Problème d’accès / authentification
b71_m3,Modérée,Bounce d'e-mails marketing sur le serveur de messagerie,Bug ou dysfonctionnement d’un service
b71_m4,Élevée,Blocage du CRM – besoin d'assistance immédiate,Demande de support utilisateur
b71_m5,Critique,Arrêt complet du serveur de production – urgence critique,Problème technique informatique
b72_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b72_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d'accès / authentification
b72_m3,Modérée,Bug sur le site web de l'entreprise,Bug ou dysfonctionnement d'un service
b72_m4,Élevée,Problème de serveur - Impact sur la production,Problème technique informatique
b72_m5,Critique,Attaque de sécurité en cours - Données sensibles exposées,Problème technique informatique
b73_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b73_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d’accès / authentification
b73_m3,Modérée,Bug sur le logiciel de gestion de projet,Bug ou dysfonctionnement d’un service
b73_m4,Élevée,Problème de serveur : accès aux données compromis,Problème technique informatique
b73_m5,Critique,Attaque de sécurité en cours : système compromis,Problème technique informatique
b74_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b74_m2,Faible,Problème mineur avec l'imprimante du bureau,Problème technique informatique
b74_m3,Modérée,Demande de support pour un utilisateur ayant des difficultés avec son compte,Demande de support utilisateur
b74_m4,Élevée,Problème d'accès au système de gestion de données,Problème d'accès / authentification
b74_m5,Critique,Bug critique dans le système de paiement en ligne,Bug ou dysfonctionnement d'un service
b75_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b75_m2,Faible,Problème d'accès à la messagerie Outlook,Problème d’accès / authentification
b75_m3,Modérée,Erreur 500 lors de l'accès à la plateforme de facturation,Bug ou dysfonctionnement d’un service
b75_m4,Élevée,Panne du serveur de base de données principale,Problème technique informatique
b75_m5,Critique,Incident majeur : perte de données sur le serveur de sauvegarde,Demande de support utilisateur
b76_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b76_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b76_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b76_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b76_m5,Critique,Panne du serveur principal,Bug ou dysfonctionnement d’un service
b77_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b77_m2,Faible,Erreur de connexion à l’intranet depuis le bureau de Paris,Problème d’accès / authentification
b77_m3,Modérée,Plantage de la plateforme de gestion des commandes en fin de journée,Bug ou dysfonctionnement d’un service
b77_m4,Élevée,Utilisateur ne peut pas imprimer depuis le nouveau poste,Demande de support utilisateur
b77_m5,Critique,Panne totale du serveur de production après mise à jour,Problème technique informatique
b78_m1,Anodine,Demande de mise à jour de mon profil,Demande administrative
b78_m2,Faible,Problème de connexion à Office 365,Problème d’accès / authentification
b78_m3,Modérée,Intranet lent depuis plusieurs jours,Bug ou dysfonctionnement d’un service
b78_m4,Élevée,Serveur de fichiers hors ligne,Problème technique informatique
b78_m5,Critique,Perte de données sur poste de travail,Demande de support utilisateur
b79_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b79_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b79_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b79_m4,Élevée,Problème d'accès aux données critiques,Problème d'accès / authentification
b79_m5,Critique,Panne majeure du système de gestion des commandes,Bug ou dysfonctionnement d’un service
b80_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b80_m2,Faible,Problème de connexion à l’outil de gestion de projet,Problème d’accès / authentification
b80_m3,Modérée,Erreur de facturation sur le portail client,Bug ou dysfonctionnement d’un service
b80_m4,Élevée,Demande d’assistance pour l’installation de la nouvelle version de l’application mobile,Demande de support utilisateur
b80_m5,Critique,Panne du serveur de production – indisponibilité totale,Problème technique informatique
b81_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b81_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d'accès / authentification
b81_m3,Modérée,Bug sur l'application de gestion de projet,Bug ou dysfonctionnement d'un service
b81_m4,Élevée,Problème de serveur - Accès aux données bloqué,Problème technique informatique
b81_m5,Critique,Attaque de sécurité en cours - Données sensibles exposées,Problème technique informatique
b82_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b82_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d’accès / authentification
b82_m3,Modérée,Bug dans l'application de gestion de projet,Bug ou dysfonctionnement d’un service
b82_m4,Élevée,Problème de sécurité avec un ordinateur portable,Problème technique informatique
b82_m5,Critique,Panne du serveur principal,Problème technique informatique
b83_m1,Anodine,Demande de renseignement sur les formations disponibles,Demande administrative
b83_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b83_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b83_m4,Élevée,Problème d'accès aux données sensibles,Problème d'accès / authentification
b83_m5,Critique,Panne du serveur principal,Problème technique informatique
b84_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b84_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b84_m3,Modérée,Demande de support pour un logiciel,Demande de support utilisateur
b84_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b84_m5,Critique,Panne du système de gestion de production,Bug ou dysfonctionnement d’un service
b85_m1,Anodine,Demande de mise à jour des coordonnées personnelles,Demande administrative
b85_m2,Faible,Imprimante réseau du bureau 3 hors service,Problème technique informatique
b85_m3,Modérée,Bug dans le tableau de bord de reporting,Bug ou dysfonctionnement d’un service
b85_m4,Élevée,Problème d'authentification sur le portail intranet,Problème d’accès / authentification
b85_m5,Critique,Panne totale du serveur de messagerie interne,Demande de support utilisateur
b86_m1,Anodine,Demande d'informations sur les formations disponibles,Demande administrative
b86_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b86_m3,Modérée,Demande de support pour un logiciel,Demande de support utilisateur
b86_m4,Élevée,Problème d'accès à la base de données,Problème d'accès / authentification
b86_m5,Critique,Panne du serveur principal,Bug ou dysfonctionnement d’un service
b87_m1,Anodine,Demande de renseignement sur les formations disponibles,Demande de support utilisateur
b87_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b87_m3,Modérée,Demande de réinitialisation de mot de passe,Problème d’accès / authentification
b87_m4,Élevée,Problème de serveur : impossibilité d'accéder aux données,Bug ou dysfonctionnement d’un service
b87_m5,Critique,Attaque de sécurité en cours : données sensibles compromises,Problème technique informatique
b88_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b88_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d'accès / authentification
b88_m3,Modérée,Bug sur le logiciel de gestion de projet,Bug ou dysfonctionnement d'un service
b88_m4,Élevée,Problème technique avec l'imprimante réseau,Problème technique informatique
b88_m5,Critique,Panne du serveur principal,Problème technique informatique
b89_m1,Anodine,Mise à jour de mon adresse e‑mail dans le système RH,Demande administrative
b89_m2,Faible,Problème d’accès VPN – mot de passe refusé,Problème d’accès / authentification
b89_m3,Modérée,Bug : page d’accueil du portail intranet affiche une erreur 404,Bug ou dysfonctionnement d’un service
b89_m4,Élevée,Impression réseau indisponible – problème technique critique,Problème technique informatique
b89_m5,Critique,Urgent : serveur de messagerie hors service – impact sur l’ensemble de l’entreprise,Demande de support utilisateur
b90_m1,Anodine,Demande de renseignements sur les formations disponibles,Demande administrative
b90_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d’accès / authentification
b90_m3,Modérée,Demande de support pour un logiciel,Demande de support utilisateur
b90_m4,Élevée,Problème technique avec le serveur de production,Problème technique informatique
b90_m5,Critique,Faille de sécurité sur le site web,Bug ou dysfonctionnement d’un service
b91_m1,Anodine,Demande de formulaire de congé,Demande administrative
b91_m2,Faible,Problème de connexion à Teams,Problème d’accès / authentification
b91_m3,Modérée,Bounces des e‑mails support,Bug ou dysfonctionnement d’un service
b91_m4,Élevée,Serveur de production hors ligne,Problème technique informatique
b91_m5,Critique,Plantage du système de facturation en ligne,Demande de support utilisateur
b92_m1,Anodine,Demande de licence pour nouvelle imprimante,Demande administrative
b92_m2,Faible,Problème de connexion VPN,Problème d’accès / authentification
b92_m3,Modérée,Erreur 500 sur le portail RH lors de la soumission des heures,Bug ou dysfonctionnement d’un service
b92_m4,Élevée,Installation de Photoshop CC 2024 sur poste de travail marketing,Demande de support utilisateur
b92_m5,Critique,Surchauffe du rack serveur 3 – intervention urgente requise,Problème technique informatique
b93_m1,Anodine,Demande de copie de documents administratifs,Demande administrative
b93_m2,Faible,Problème de connexion à l’imprimante réseau,Problème technique informatique
b93_m3,Modérée,Bug dans la page de facturation du portail client,Bug ou dysfonctionnement d’un service
b93_m4,Élevée,Demande d’assistance pour accès à l’outil de gestion RH,Problème d’accès / authentification
b93_m5,Critique,Panne généralisée de la plateforme de formation en ligne,Demande de support utilisateur
b94_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b94_m2,Faible,Mot de passe oublié sur le portail intranet,Problème d’accès / authentification
b94_m3,Modérée,Erreur 500 lors de l'envoi de rapports hebdomadaires,Bug ou dysfonctionnement d’un service
b94_m4,Élevée,Problème de synchronisation des contacts Outlook,Demande de support utilisateur
b94_m5,Critique,Panne réseau critique sur le site de production,Problème technique informatique
b95_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b95_m2,Faible,Mot de passe oublié sur le portail intranet,Problème d’accès / authentification
b95_m3,Modérée,Erreur 500 sur la plateforme de facturation,Bug ou dysfonctionnement d’un service
b95_m4,Élevée,Problème de synchronisation des contacts Outlook,Demande de support utilisateur
b95_m5,Critique,Panne du serveur de messagerie – interruption totale,Problème technique informatique
b96_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b96_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b96_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b96_m4,Élevée,Problème d'authentification sur le système de gestion de projet,Problème d'accès / authentification
b96_m5,Critique,Panne du serveur principal de l'entreprise,Bug ou dysfonctionnement d'un service
b97_m1,Anodine,Demande de mise à jour de mon mot de passe,Problème d’accès / authentification
b97_m2,Faible,Problème d’impression sur le scanner de la salle B,Problème technique informatique
b97_m3,Modérée,Bug dans la génération du rapport mensuel,Bug ou dysfonctionnement d’un service
b97_m4,Élevée,Demande administrative urgente : changement d’adresse de facturation,Demande administrative
b97_m5,Critique,Interruption totale du service de messagerie interne,Problème technique informatique
b98_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b98_m2,Faible,Erreur d'authentification sur le portail intranet,Problème d’accès / authentification
b98_m3,Modérée,Erreur 500 lors de l'envoi de rapports mensuels,Bug ou dysfonctionnement d’un service
b98_m4,Élevée,Panne du serveur de messagerie interne,Problème technique informatique
b98_m5,Critique,Interruption du service de téléphonie VoIP pour l'ensemble du bureau,Demande de support utilisateur
b99_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b99_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b99_m3,Modérée,Demande de support pour un logiciel,Demande de support utilisateur
b99_m4,Élevée,Problème d'accès aux données sensibles,Problème d'accès / authentification
b99_m5,Critique,Panne majeure du système de production,Bug ou dysfonctionnement d’un service
b100_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b100_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d'accès / authentification
b100_m3,Modérée,Bug sur le logiciel de gestion de projet,Bug ou dysfonctionnement d'un service
b100_m4,Élevée,Problème de sécurité sur le serveur principal,Problème technique informatique
b100_m5,Critique,Panne du système de gestion des commandes,Problème technique informatique
b101_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b101_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b101_m3,Modérée,Demande de support pour un logiciel,Demande de support utilisateur
b101_m4,Élevée,Problème d'accès aux données confidentielles,Problème d’accès / authentification
b101_m5,Critique,Panne du serveur principal,Bug ou dysfonctionnement d’un service
b102_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b102_m2,Faible,Problème de connexion à l’application interne,Problème d’accès / authentification
b102_m3,Modérée,Erreur 500 sur le portail de facturation,Bug ou dysfonctionnement d’un service
b102_m4,Élevée,Impression de rapports PDF impossible depuis le tableau de bord,Demande de support utilisateur
b102_m5,Critique,Panne du serveur de base de données principale,Problème technique informatique
b103_m1,Anodine,Écran de mon ordinateur portable clignote,Problème technique informatique
b103_m2,Faible,Demande de congé pour la semaine du 12 juillet,Demande administrative
b103_m3,Modérée,Impossible d’accéder au VPN depuis mon domicile,Problème d’accès / authentification
b103_m4,Élevée,Problème de synchronisation du calendrier Outlook,Demande de support utilisateur
b103_m5,Critique,ERP interne hors service – impact sur les ventes,Bug ou dysfonctionnement d’un service
b104_m1,Anodine,Modification de signature Outlook,Demande administrative
b104_m2,Faible,Impression couleur indisponible sur la photocopieuse X200,Problème technique informatique
b104_m3,Modérée,"Accès refusé au dossier partagé ""Projets 2025""",Problème d’accès / authentification
b104_m4,Élevée,Doublons clients dans le CRM,Bug ou dysfonctionnement d’un service
b104_m5,Critique,Panne serveur de messagerie et intranet,Problème technique informatique
b105_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b105_m2,Faible,Problème de connexion à l'intranet,Problème d’accès / authentification
b105_m3,Modérée,Bug sur le logiciel de gestion de projet,Bug ou dysfonctionnement d’un service
b105_m4,Élevée,Problème technique avec le serveur de données,Problème technique informatique
b105_m5,Critique,Attaque de sécurité en cours,Problème technique informatique
b106_m1,Anodine,Demande de congés supplémentaires pour le mois de juillet,Demande administrative
b106_m2,Faible,Problème d'accès au portail intranet,Problème d’accès / authentification
b106_m3,Modérée,Erreur 500 sur l'application de facturation,Bug ou dysfonctionnement d’un service
b106_m4,Élevée,Impression impossible sur le serveur d'impression,Demande de support utilisateur
b106_m5,Critique,Panne réseau critique dans le datacenter,Problème technique informatique
b107_m1,Anodine,Demande de mise à disposition d'une imprimante supplémentaire,Demande administrative
b107_m2,Faible,Mot de passe VPN oublié,Problème d’accès / authentification
b107_m3,Modérée,Erreur 500 sur le portail RH lors de la saisie des heures,Bug ou dysfonctionnement d’un service
b107_m4,Élevée,Panne réseau dans l’étage 3,Problème technique informatique
b107_m5,Critique,Perte de données critiques suite à un crash du serveur de fichiers,Demande de support utilisateur
b108_m1,Anodine,Mise à jour des coordonnées de contact,Demande administrative
b108_m2,Faible,Problème de mise en page sur la page d’accueil du site intranet,Bug ou dysfonctionnement d’un service
b108_m3,Modérée,Demande de licence Office 365 pour le nouveau collaborateur,Demande de support utilisateur
b108_m4,Élevée,Arrêt du serveur de production – impact sur le portail client,Problème technique informatique
b108_m5,Critique,Incident de sécurité : fuite de données sensibles détectée,Problème d’accès / authentification
